Series Name,GDP growth (annual %),Net official development assistance received (current US$),Gross capital formation (% of GDP),General government final consumption expenditure (% of GDP),Trade (% of GDP),"Inflation, consumer prices (annual %)"
2023 [YR2023],5.555873013,..,16.35689147,11.91511758,32.09207928,7.67139634
2022 [YR2022],4.859981043,2652010010,19.05406385,12.2133041,33.69113873,7.659862683
2021 [YR2021],7.590489473,3176919922,20.39124478,12.1468578,30.82430318,6.107936037
2020 [YR2020],-0.272766327,3989209961,19.65158417,12.47765997,27.23781553,5.405162079
2019 [YR2019],5.114158858,3171919922,19.34183242,12.17079729,31.75946184,5.239637958
2018 [YR2018],5.647946407,2491010010,19.37598625,12.3486894,34.41475318,4.689806468
2017 [YR2017],3.837958174,2480219971,20.6634949,12.33507902,35.99505788,8.005649677
2016 [YR2016],4.213517068,2188389893,19.34843583,12.60976863,34.86501957,6.297249538
2015 [YR2015],4.967721128,2463560059,22.1033982,12.72668008,40.32738469,6.582154293
2014 [YR2014],5.020111002,2661030029,24.950719,11.74249459,46.17048936,6.878154993
2013 [YR2013],3.797848393,3306840088,22.4049681,11.842626,47.46464251,5.71749357
2012 [YR2012],4.568679614,2653659912,22.19336293,12.27137742,51.62369202,9.377770035
2011 [YR2011],5.12110612,2478820068,21.88581228,12.68464202,58.40220597,14.0224913
2010 [YR2010],8.058473603,1631260010,21.2639988,12.95297182,50.39428735,3.961388891
2009 [YR2009],3.306939816,1697680054,19.01917242,13.55459479,45.94519181,9.234125924
2008 [YR2008],0.232282745,1249430054,19.61271142,15.67397942,57.57859865,26.23981664
2007 [YR2007],6.85072977,1222040039,20.45697839,14.62961147,53.8947888,9.75888023
2006 [YR2006],6.4724943,941650024.4,18.6335854,14.3469988,55.23648513,14.45373421
2005 [YR2005],5.90666608,756570007.3,17.64968479,17.38021155,64.47886616,10.31277836
2004 [YR2004],5.104299776,655929992.7,16.96249556,17.86006596,59.47700335,11.62403554
2003 [YR2003],2.932475546,522900024.4,16.48214939,18.13131858,54.1322659,9.81569063
2002 [YR2002],0.54685953,388220001.2,15.13821589,17.07799991,55.17267226,1.961308217
2001 [YR2001],3.779906498,472410003.7,18.79034052,15.97291175,55.94683603,5.738598143
2000 [YR2000],0.599695391,513919982.9,17.41409062,15.05429226,53.30904439,9.980025154
1999 [YR1999],2.305388595,311250000,15.52141487,15.75329665,48.19227499,5.742001095
1998 [YR1998],3.290213722,415260009.8,16.69271641,16.24996092,48.89724194,6.722436508
1997 [YR1997],0.474901921,448649993.9,15.14098814,15.53615219,54.05711686,11.36184505
1996 [YR1996],4.146839269,596260009.8,15.00382269,15.18056739,57.3121107,8.864087416
1995 [YR1995],4.406216525,733090026.9,21.8197611,14.84292105,71.74574164,1.554328161
1994 [YR1994],2.632784518,677869995.1,19.29324297,15.15492631,71.26612523,28.81438943
