Series Name,GDP growth (annual %),Net official development assistance received (current US$),Gross capital formation (% of GDP),General government final consumption expenditure (% of GDP),Trade (% of GDP),"Inflation, consumer prices (annual %)"
1963 [YR1963],8.778340216,55590000.15,..,11.47088055,60.99571232,0.697674419
1964 [YR1964],4.964467288,56709999.08,13.06420449,13.84917666,62.60164409,-0.099304867
1965 [YR1965],2.009094171,72129997.25,14.39394484,14.84287734,62.09317118,3.578528828
1966 [YR1966],14.7285664,55409999.85,18.61024061,13.72926019,63.28443577,5.014395393
1967 [YR1967],3.361232033,36709999.08,20.1726488,14.12994094,57.83734666,1.759195796
1968 [YR1968],7.982689969,60709999.08,20.04882893,15.20731606,58.69817098,0.36671157
1969 [YR1969],7.959224459,55810001.37,19.37218009,16.43467409,57.61735624,-0.171501007
1970 [YR1970],-4.655446916,57349998.47,24.39667517,16.25746516,60.48964482,2.188527039
1971 [YR1971],22.17389193,66849998.47,23.91598703,17.98028781,63.82846302,3.780206125
1972 [YR1972],17.08242935,71860000.61,22.31730003,17.63220834,55.31490832,5.831644743
1973 [YR1973],5.89658021,94970001.22,25.81122566,16.45223728,56.06284868,9.281194223
1974 [YR1974],4.065617349,116580001.8,25.75563307,17.03591968,74.57340436,17.80994803
1975 [YR1975],0.882203175,124819999.7,18.13989346,18.32539901,64.33526782,19.12018401
1976 [YR1976],2.153964503,154600006.1,20.2442178,17.4601025,64.20610897,11.44903049
1977 [YR1977],9.453797844,160759994.5,23.72332115,17.20522609,66.55196516,14.82096448
1978 [YR1978],6.912493546,245610000.6,29.78928932,19.51476536,67.62354066,16.93178246
1979 [YR1979],7.615226046,348339996.3,18.1327783,19.19577719,57.36417475,7.979352618
1980 [YR1980],5.591976206,394790008.5,24.50714062,19.80337526,65.41679594,13.85818146
1981 [YR1981],3.773544194,448149993.9,22.91344169,18.58875129,64.28018576,11.60305344
1982 [YR1982],1.506478258,484600006.1,21.86021484,18.43303278,58.21573715,20.66671467
1983 [YR1983],1.309050241,396100006.1,20.92506552,18.42165438,54.16270539,11.39778274
1984 [YR1984],1.755216977,408429992.7,19.81103195,17.38183334,58.80389758,10.28409821
1985 [YR1985],4.300561819,426660003.7,25.32482373,17.46029227,55.44543455,13.00656642
1986 [YR1986],7.177555391,442959991.5,21.76803717,18.31956697,55.74138559,2.534275989
1987 [YR1987],5.937107444,557219970.7,24.28943287,18.56875563,47.70276801,8.63767319
1988 [YR1988],6.203183823,832030029.3,25.44904102,18.40578922,49.97498209,12.26496305
1989 [YR1989],4.690348768,1059699951,24.86207761,18.05660779,53.15637722,13.78931728
1990 [YR1990],4.192050972,1181290039,24.1640929,18.6424309,57.02091368,17.78181443
1991 [YR1991],1.438346792,916460022,20.97051486,16.77134566,55.59769922,20.08449558
1992 [YR1992],-0.799493959,884919982.9,16.92083908,15.68227259,52.9308701,27.33236445
1993 [YR1993],0.353197256,915630004.9,17.61043506,14.47996549,72.85848136,45.9788813
1994 [YR1994],2.632784518,677869995.1,19.29324297,15.15492631,71.26612523,28.81438943
1995 [YR1995],4.406216525,733090026.9,21.8197611,14.84292105,71.74574164,1.554328161
1996 [YR1996],4.146839269,596260009.8,15.00382269,15.18056739,57.3121107,8.864087416
1997 [YR1997],0.474901921,448649993.9,15.14098814,15.53615219,54.05711686,11.36184505
1998 [YR1998],3.290213722,415260009.8,16.69271641,16.24996092,48.89724194,6.722436508
1999 [YR1999],2.305388595,311250000,15.52141487,15.75329665,48.19227499,5.742001095
2000 [YR2000],0.599695391,513919982.9,17.41409062,15.05429226,53.30904439,9.980025154
2001 [YR2001],3.779906498,472410003.7,18.79034052,15.97291175,55.94683603,5.738598143
2002 [YR2002],0.54685953,388220001.2,15.13821589,17.07799991,55.17267226,1.961308217
2003 [YR2003],2.932475546,522900024.4,16.48214939,18.13131858,54.1322659,9.81569063
2004 [YR2004],5.104299776,655929992.7,16.96249556,17.86006596,59.47700335,11.62403554
2005 [YR2005],5.90666608,756570007.3,17.64968479,17.38021155,64.47886616,10.31277836
2006 [YR2006],6.4724943,941650024.4,18.6335854,14.3469988,55.23648513,14.45373421
2007 [YR2007],6.85072977,1222040039,20.45697839,14.62961147,53.8947888,9.75888023
2008 [YR2008],0.232282745,1249430054,19.61271142,15.67397942,57.57859865,26.23981664
2009 [YR2009],3.306939816,1697680054,19.01917242,13.55459479,45.94519181,9.234125924
2010 [YR2010],8.058473603,1631260010,21.2639988,12.95297182,50.39428735,3.961388891
2011 [YR2011],5.12110612,2478820068,21.88581228,12.68464202,58.40220597,14.0224913
2012 [YR2012],4.568679614,2653659912,22.19336293,12.27137742,51.62369202,9.377770035
2013 [YR2013],3.797848393,3306840088,22.4049681,11.842626,47.46464251,5.71749357
2014 [YR2014],5.020111002,2661030029,24.950719,11.74249459,46.17048936,6.878154993
2015 [YR2015],4.967721128,2463560059,22.1033982,12.72668008,40.32738469,6.582154293
2016 [YR2016],4.213517068,2188389893,19.34843583,12.60976863,34.86501957,6.297249538
2017 [YR2017],3.837958174,2480219971,20.6634949,12.33507902,35.99505788,8.005649677
2018 [YR2018],5.647946407,2491010010,19.37598625,12.3486894,34.41475318,4.689806468
2019 [YR2019],5.114158858,3171919922,19.34183242,12.17079729,31.75946184,5.239637958
